triple_id,paper,extractor,model,subject,predicate,object,object_type,predicate_definition,section,source_sentence,verdict,note
c15d2377d2fc,aiabstract2025,relation,qwen3-8b-v2,Galactica,designedfor,domain-specific semantics,Concept,Model → ResearchTask  |  use ONLY when the paper explicitly states the model was designed/built/intended for a specific task,I INTRODUCTION,"Galactica, a transformer-based language model trained on scientific literature and designed to understand domain-specific semantics, including technical terms, equations, and citation patterns [15].",,
5801edd64b80,csysguard2024,relation,qwen3-8b-v2,cSysGuard,designedfor,dynamic cloud environments,Concept,Model → ResearchTask  |  use ONLY when the paper explicitly states the model was designed/built/intended for a specific task,I INTRODUCTION,"To address these challenges, we require a sophisticated tool that accurately forecasts key metrics and assesses system health using these indicators in dynamic cloud environments. In response, we have developed cSysGuard, denoted as '' Cloud System Guard,'' a comprehensive ensemble pre- dictor framework designed to handle unpredictable nature effectively.",,
e49f616cb598,csysguard2024,relation,qwen3-8b-v2,the first,employs,ReLU activation,Other,Organisation → Person  |  use for employment relationships,A. LEVEL-0 LEARNER,"In addition to deep learning, we incorporated two hidden layers into the architecture : the first equipped with 64 neurons and the second with 32 neurons, both employing ReLU activation.",,
34811672a8f0,csysguard2024,relation,qwen3-8b-v2,the second,employs,ReLU activation,Other,Organisation → Person  |  use for employment relationships,A. LEVEL-0 LEARNER,"In addition to deep learning, we incorporated two hidden layers into the architecture : the first equipped with 64 neurons and the second with 32 neurons, both employing ReLU activation.",,
dc0c6d153683,eyelandmark2024,relation,qwen3-8b-v2,"Newkirk, Kimberly (2007)",cites,"Newkirk, Kimberly (2007)",AcademicPaper,AcademicPaper → AcademicPaper  |  use when a paper cites another paper by name,IV RESULT AND DISCUSSION,"Møller-Pedersen, Torben (2004)[6] proposed a new category of corneal transparency disorders, emphasizing the role of abnormal cellular-based reflections, while Newkirk, Kimberly (2007)[7] identified UVR-induced corneal degeneration in mice, including loss of keratocytes and cataract formation.",,
ce974d4f556d,eyelandmark2024,relation,qwen3-8b-v2,final dataset,comprises,image name,Other,"ResearchProcess → ResearchProcess  |  BOTH subject and object must be processes/methods. Object must be an explicitly named sub-process or component — NOT a dataset, representation, or result",IV RESULT AND DISCUSSION,"The final dataset, it comprises of 924 rows and 12 columns, including image name, cropped eye side, face gazing side, and 9 landmarks.",,
ab11a1435d24,eyelandmark2024,relation,qwen3-8b-v2,RT-DETR,comprises,transformer decoder,Model,"ResearchProcess → ResearchProcess  |  BOTH subject and object must be processes/methods. Object must be an explicitly named sub-process or component — NOT a dataset, representation, or result",II LITERATURE REVIEWS,"A transformer decoder with additional prediction heads, a hybrid encoder, and a backbone make up the RT-DETR.",,
60539b0df4e7,eyelandmark2024,relation,qwen3-8b-v2,"Chang, Baofang (2024)",writtenby,RT-DETR,Model,AcademicPaper → Author  |  use only for explicit author attribution,II LITERATURE REVIEWS,"Further studies by Chang, Baofang (2024)[5] compared experiments on plant disease identification using CNN- based networks, ViT-based models, and RT-DETR, showcasing improved accuracy and latency.",,
f16f5b62cef4,gamlprop2025,relation,qwen3-8b-v2,research by Oprisiu et al. (2013),cites,Quantitative Structure Models,Model,AcademicPaper → AcademicPaper  |  use when a paper cites another paper by name,1. Introduction,research by Oprisiu et al. (2013) employed Quantitative Structure Models to predict boiling temperatures and utilised non-linear models such as Associative Neural Networks (ASNNs) along with other linear regression models.,,
ab5e1c6014f3,gamlprop2025,relation,qwen3-8b-v2,Genetic Algorithms,employs,biological principles or natural selection,Concept,Organisation → Person  |  use for employment relationships,1. Introduction,"Genetic Algorithms, techniques for finding desired values or problem solutions based on biological principles or natural selection , are employed to identify appropriate property ranges.",,
350f345763c7,gamlprop2025,relation,qwen3-8b-v2,Genetic algorithm (GA),encompasses,optimization and search problems,Task,"ResearchDomain → ResearchTask  |  subject MUST be a broad domain (NLP, Computer Vision, etc.). Object is a specific task within that domain. NEVER use a ResearchTask as the subject — tasks cannot encompass domains",2.2 Genetic Algorithm,"Genetic algorithm (GA), a subset of evolutionary algorithms (EAs), are adaptive search methods inspired by natural selection, widely used for optimization and search problems.",,
ca71fda14075,gamlprop2025,relation,qwen3-8b-v2,Hydrocarbons,encompasses,alkanes,Concept,"ResearchDomain → ResearchTask  |  subject MUST be a broad domain (NLP, Computer Vision, etc.). Object is a specific task within that domain. NEVER use a ResearchTask as the subject — tasks cannot encompass domains",1. Introduction,"Hydrocarbons, organic compounds composed solely of carbon and hydrogen atoms, are categorized into alkanes, alkenes, and alkynes.",,
7c3dd626134b,gamlprop2025,relation,qwen3-8b-v2,Hydrocarbons,encompasses,alkenes,Concept,"ResearchDomain → ResearchTask  |  subject MUST be a broad domain (NLP, Computer Vision, etc.). Object is a specific task within that domain. NEVER use a ResearchTask as the subject — tasks cannot encompass domains",1. Introduction,"Hydrocarbons, organic compounds composed solely of carbon and hydrogen atoms, are categorized into alkanes, alkenes, and alkynes.",,
de8d7c76fddb,gamlprop2025,relation,qwen3-8b-v2,training set,splitfrom,five segments,Dataset,Dataset → Dataset  |  use for train/dev/test partition relationships,2.1 Model Development and Cross Validation,"Within the training set, the data were further partitioned into five segments to facilitate algorithm tuning and evaluation.",,
a8dc17307245,llamacorrupt2025,relation,qwen3-8b-v2,Software and its engineering,encompasses,Software fault tolerance,Task,"ResearchDomain → ResearchTask  |  subject MUST be a broad domain (NLP, Computer Vision, etc.). Object is a specific task within that domain. NEVER use a ResearchTask as the subject — tasks cannot encompass domains",Abstract,"Phalat Kraichoke Department of Computer Engineering, School of Engineering • Computing methodologies →Natural language generation; • General and reference →Verification; • Software and its engineering →Software fault tolerance.",,
726ef104ccd8,llamacorrupt2025,relation,qwen3-8b-v2,BERT,evaluates,88.5,Metric,"EvaluationMetric → ExperimentalResult  |  subject MUST be a named metric (e.g. F1, Accuracy, BLEU, RMSE, WER). Object must be a SPECIFIC numeric result (e.g. '88.5 on the test set') — NOT a full descriptive sentence",4 Summary,"The trials demonstrate that heightened corruption results in a more significant decline in model performance, as assessed by BERT and ROUGE scores.",,
