triple_id,paper,extractor,model,subject,predicate,object,object_type,predicate_definition,section,source_sentence,verdict,note
d69333375e0a,aiabstract2025,relation,qwen3-235b,our method,comparesagainst,TF-IDF,Method,Model → Model  |  BOTH subject and object must be named Models. Use when the paper explicitly benchmarks one model against another. Citation keys like 'Smith et al. (2019)' are NOT valid — use the model name,Abstract,"Experimental results demonstrate that our method outperforms traditional baselines such as TF-IDF, RoBERTa, and perplexity-based detectors, while offering interpretable and scalable detection suitable for editorial screening pipelines.",,
f8a3fcd22894,aiabstract2025,relation,qwen3-235b,AI-GA dataset,splitfrom,"28,662 labeled abstracts",Dataset,Dataset → Dataset  |  use for train/dev/test partition relationships,Abstract,"Leveraging the AI-GA dataset comprising 28,662 labeled abstracts, we extract domain-specific semantic embeddings using Galactica and construct a semantic similarity graph to approximate citation-like relationships.",,
646f6c7542af,aiabstract2025,relation,qwen3-235b,Galactica,trainedon,AI-GA dataset,Dataset,Model → TrainingDataset  |  use only for named training corpora/datasets,Abstract,"Leveraging the AI-GA dataset comprising 28,662 labeled abstracts, we extract domain-specific semantic embeddings using Galactica and construct a semantic similarity graph to approximate citation-like relationships.",,
ae0d59de7554,csysguard2024,relation,qwen3-235b,Decision Trees,achieves,macro- averaged F1 score of 89.79%,ResearchObjective,ResearchProcess → ResearchObjective  |  use when a model/method attains a specific result or goal. USE THIS instead of reports when subject is a Model,Abstract,"In addition, the effectiveness of health assessment was achieved through Decision Trees with hyperparameter tuning, resulting in a macro- averaged F1 score of 89.79%.",,
dd2875319637,csysguard2024,relation,qwen3-235b,Level-1 learners,designedfor,refining the regression outputs,Task,Model → ResearchTask  |  use ONLY when the paper explicitly states the model was designed/built/intended for a specific task,B. LEVEL-1 LEARNER,Level-1 learners serve as meta-models designed for refining the regression outputs and constitute the second layer in our predictive framework .,,
6bac057e79d9,csysguard2024,relation,qwen3-235b,RMSE,evaluates,improvements,ExperimentalResult,"EvaluationMetric → ExperimentalResult  |  subject MUST be a named metric (e.g. F1, Accuracy, BLEU, RMSE, WER). Object must be a SPECIFIC numeric result (e.g. '88.5 on the test set') — NOT a full descriptive sentence",E. HYPERPARAMETER TUNING,"Subsequently, we evaluated the improvements using the RMSE as our benchmark.",,
145812fb9fef,csysguard2024,relation,qwen3-235b,Table 9,produces,optimal parameter settings of our model,ResearchArtifact,ResearchProcess → ResearchArtifact  |  use when a process explicitly creates a new artifact,B. SYSTEM HEALTH ASSESSMENT EVALUATION,"In addition, Table 9 presents the optimal parameter settings of our model.",,
0bae93d157a7,csysguard2024,relation,qwen3-235b,RNN,trainedon,observation steps,TrainingDataset,Model → TrainingDataset  |  use only for named training corpora/datasets,E. HYPERPARAMETER TUNING,"For the RNN, these parameters include data structuring elements (such as observation steps), model architecture (covering learning rate, the number of neurons, and activation functions in both the first and second layers), and model training configurations (incorporating epochs and batch size).",,
17cdc2029f92,eyelandmark2024,relation,qwen3-235b,RT-DETR,addresses,eye landmarks detection,Task,"ResearchProcess/Paper → ResearchContext  |  subject must be a Paper, Model, or Method (never a ResearchTask). Object is a domain/task/objective the subject targets. STRICT: Do NOT use when a task is the subject — tasks ARE ResearchContext, they cannot address themselves",III METHOD,"The methodology for eye landmarks detection using RT-DETR involves several key steps to accurately identify and localize landmarks within the eye region, represented in flowcharts shown in Fig 3.",,
f15fa40cb574,eyelandmark2024,relation,qwen3-235b,hybrid encoder,comprises,intra-scale interaction,Method,"ResearchProcess → ResearchProcess  |  BOTH subject and object must be processes/methods. Object must be an explicitly named sub-process or component — NOT a dataset, representation, or result",III METHOD,The hybrid encoder transforms the multi-scale features into a sequence of image features through intra-scale interaction and cross-scale fusion.,,
535ab95ef25a,eyelandmark2024,relation,qwen3-235b,accuracy,evaluates,0.974,ExperimentalResult,"EvaluationMetric → ExperimentalResult  |  subject MUST be a named metric (e.g. F1, Accuracy, BLEU, RMSE, WER). Object must be a SPECIFIC numeric result (e.g. '88.5 on the test set') — NOT a full descriptive sentence",III METHOD,"In order to assess the model's accuracy and robustness, precision of 0.923, accuracy of 0.974 and IoU of 0.612 are evaluated.",,
21f06c38d429,eyelandmark2024,relation,qwen3-235b,recall,evaluates,model's accuracy and robustness,Concept,"EvaluationMetric → ExperimentalResult  |  subject MUST be a named metric (e.g. F1, Accuracy, BLEU, RMSE, WER). Object must be a SPECIFIC numeric result (e.g. '88.5 on the test set') — NOT a full descriptive sentence",III METHOD,"Evaluation metrics like precision, recall and Intersection over Union (IoU) which gauges how much the predicted bounding box overlaps with the ground-truth bounding box. A score of 1.0 indicates a complete match, while 0.0 means there's no overlap between the predicted and ground-truth bounding boxes are utilized to assess the model's accuracy and robustness.",,
da2765b40b74,eyelandmark2024,relation,qwen3-235b,IoU,evaluates,0.612,ExperimentalResult,"EvaluationMetric → ExperimentalResult  |  subject MUST be a named metric (e.g. F1, Accuracy, BLEU, RMSE, WER). Object must be a SPECIFIC numeric result (e.g. '88.5 on the test set') — NOT a full descriptive sentence",III METHOD,"In order to assess the model's accuracy and robustness, precision of 0.923, accuracy of 0.974 and IoU of 0.612 are evaluated.",,
0e451e09660e,eyelandmark2024,relation,qwen3-235b,precision,evaluates,model's accuracy and robustness,Concept,"EvaluationMetric → ExperimentalResult  |  subject MUST be a named metric (e.g. F1, Accuracy, BLEU, RMSE, WER). Object must be a SPECIFIC numeric result (e.g. '88.5 on the test set') — NOT a full descriptive sentence",III METHOD,"Evaluation metrics like precision, recall and Intersection over Union (IoU) which gauges how much the predicted bounding box overlaps with the ground-truth bounding box. A score of 1.0 indicates a complete match, while 0.0 means there's no overlap between the predicted and ground-truth bounding boxes are utilized to assess the model's accuracy and robustness.",,
e88b030efc14,eyelandmark2024,relation,qwen3-235b,RT-DETR,trainedon,images,Dataset,Model → TrainingDataset  |  use only for named training corpora/datasets,III METHOD,"Then all images were fed into RT-DETR model, firstly, the backbone extracts multi-scale features from the input image, then fed into the hybrid encoder.",,
9d618ab975c1,gamlprop2025,relation,qwen3-235b,Genetic Algorithm,comprises,Initialization,Method,"ResearchProcess → ResearchProcess  |  BOTH subject and object must be processes/methods. Object must be an explicitly named sub-process or component — NOT a dataset, representation, or result",2.2 Genetic Algorithm,"The application of the Genetic Algorithm to generate chemicals with desirable properties, as illustrated in Figure 3, comprises five steps: Initialization, Population, Selection, Crossover, and Mutation.",,
77357062d76f,gamlprop2025,relation,qwen3-235b,Genetic Algorithm,comprises,Mutation,Method,"ResearchProcess → ResearchProcess  |  BOTH subject and object must be processes/methods. Object must be an explicitly named sub-process or component — NOT a dataset, representation, or result",2.2 Genetic Algorithm,"The application of the Genetic Algorithm to generate chemicals with desirable properties, as illustrated in Figure 3, comprises five steps: Initialization, Population, Selection, Crossover, and Mutation.",,
4f52df2483d9,gamlprop2025,relation,qwen3-235b,Chorbngam et al. (2021),publishedin,work,Other,AcademicPaper → PublicationVenue  |  use for journal/conference names only,2. Methodology,"In this study, the dataset from the work of Chorbngam et al. (2021) was utilised, comprising boiling point data for 560 hydrocarbons containing 1-12 carbon atoms.",,
b60801fe72ff,llamacorrupt2025,relation,qwen3-235b,performance,evaluates,BERT's F1 score,Metric,"EvaluationMetric → ExperimentalResult  |  subject MUST be a named metric (e.g. F1, Accuracy, BLEU, RMSE, WER). Object must be a SPECIFIC numeric result (e.g. '88.5 on the test set') — NOT a full descriptive sentence",1 Introduction,The model underwent evaluation on the GLUE-QNLI dataset [6] with performance assessed through BERT's F1 score and ROUGE metrics [7],,
c8d8c1564bb9,llamacorrupt2025,relation,qwen3-235b,performance,evaluates,ROUGE metrics,Metric,"EvaluationMetric → ExperimentalResult  |  subject MUST be a named metric (e.g. F1, Accuracy, BLEU, RMSE, WER). Object must be a SPECIFIC numeric result (e.g. '88.5 on the test set') — NOT a full descriptive sentence",1 Introduction,The model underwent evaluation on the GLUE-QNLI dataset [6] with performance assessed through BERT's F1 score and ROUGE metrics [7],,
2a33ecd0e647,llamacorrupt2025,relation,qwen3-235b,Down matrices,supports,model degradation,ExperimentalOutcome,ExperimentalMeasurement → ExperimentalOutcome  |  use when a specific number backs up a qualitative conclusion,4 Summary,"Further analysis of self-attention and feed-forward matrices shows that feed-forward components, particularly the Down matrices, have a stronger influence on model degradation.",,
c9738b616499,llamacorrupt2025,relation,qwen3-235b,Llama -3.2-1B-Instruct,uses,Transformer,Model,"ResearchProcess → ResearchArtifact  |  use when a method/model explicitly consumes a tool, dataset, or architecture",2.1 A Selected LLM Model: Llama-3.2-1B-Instruct,"Due to the limitations of computational resources in the experiment as it was conducted on a personal computer, we have chosen Llama -3.2-1B-Instruct [4] a Transformer -based model [5] as our initial candidate due to its popularity as an open-source model and its availability on Hugging Face.",,
615cd5dd10d5,llamacorrupt2025,relation,qwen3-235b,Llama -3.2-1B-Instruct,uses,Transformer,Method,"ResearchProcess → ResearchArtifact  |  use when a method/model explicitly consumes a tool, dataset, or architecture",1 Introduction,We assess Meta's Llama -3.2-1B-Instruct [4] a 16-layer Transformer model acquired from Hugging Face [5],,
b5fa8e461a31,osmotic2026,relation,qwen3-235b,GP,achieves,highest R2 value,ResearchObjective,ResearchProcess → ResearchObjective  |  use when a model/method attains a specific result or goal. USE THIS instead of reports when subject is a Model,Results and discussion,"Finally, when evaluating the combined data, GP again achieves the highest R2 value, while DT exhibits the lowest %MAPE.",,
8793dee6bb41,osmotic2026,relation,qwen3-235b,RF,achieves,lowest errors on the random split,ResearchObjective,ResearchProcess → ResearchObjective  |  use when a model/method attains a specific result or goal. USE THIS instead of reports when subject is a Model,Results and discussion,"While XGB and RF achieve the lowest errors on the random split, GP demonstrates superior stability in the LOGO validation , maintaining a lower drop in performance compared to tree-based methods when predicting unseen salts.",,
19dceffd0381,osmotic2026,relation,qwen3-235b,data,splitfrom,training set,Dataset,Dataset → Dataset  |  use for train/dev/test partition relationships,Modelling,The data is randomly divided into a 70% training set and a 30% test set.,,
c0d008bd9e00,oxidecrack2025,relation,qwen3-235b,Artificial Neural Network (ANN),comprises,input,ResearchProcess,"ResearchProcess → ResearchProcess  |  BOTH subject and object must be processes/methods. Object must be an explicitly named sub-process or component — NOT a dataset, representation, or result",Artificial Neural Network (ANN),"Artificial Neural Network (ANN) is composed of nodes arranged in 3 layers which are input, hidden, and output layers.",,
ac927ffb54bc,oxidecrack2025,relation,qwen3-235b,Adaptive Synthetic Sampling (ADASYN),produces,specific improvements,Concept,ResearchProcess → ResearchArtifact  |  use when a process explicitly creates a new artifact,Oversampling,"Although techniques such as Adaptive Synthetic Sampling (ADASYN)32 and Border-line SMOTE33 provide specific improvements, like concentrating on decision boundaries or adjusting to data density.",,
a7d32aa6adcb,parkingyolo2023,relation,qwen3-235b,You Only Look Once (YOLO),addresses,detect parking violations,Task,"ResearchProcess/Paper → ResearchContext  |  subject must be a Paper, Model, or Method (never a ResearchTask). Object is a domain/task/objective the subject targets. STRICT: Do NOT use when a task is the subject — tasks ARE ResearchContext, they cannot address themselves",1. Introduction,"For instance, networks such as the Single Shot MultiBox Detector (SSD) and You Only Look Once (YOLO) have been implemented to identify parking violations [6–8].",,
