triple_id,paper,extractor,model,subject,predicate,object,object_type,predicate_definition,section,source_sentence,verdict,note
de71a466402d,aiabstract2025,relation_scinex,qwen3-235b,Galactica,affiliatedwith,Meta AI,Organisation,Agent → Organisation  |  Associates an agent with an organisation to which they are professionally attached during a research activity,Abstract,"The rise of large language models has introduced new challenges in maintaining research integrity, particularly through the potential proliferation of AI-generated scientific content. This paper presents a novel hybrid framework that combines Galactica—a scientific language model developed by Meta AI—with Graph Neural Networks (GNNs) to detect AI- generated research abstracts.",PARTIAL,"Subject Galactica is a model, not an Agent as required by the predicate domain"
0adeb8bbc275,aiabstract2025,relation_scinex,qwen3-235b,Ahmed and Raj [6],cites,RoBERTa with citation and co-authorship graphs,Method,"AcademicPaper → AcademicPaper  |  Records a bibliographic reference from one academic paper to another, indicating that the citing paper acknowledges, builds upon, or contrasts with the cited work",II RELATED WORK,Ahmed and Raj [6] combined RoBERTa with citation and co-authorship graphs to detect machine-written academic content.,INCORRECT,Object is not an AcademicPaper and the sentence does not state a citation
79b39f6e49e4,aiabstract2025,relation_scinex,qwen3-235b,Liu et al. [23],cites,a similar setup,Method,"AcademicPaper → AcademicPaper  |  Records a bibliographic reference from one academic paper to another, indicating that the citing paper acknowledges, builds upon, or contrasts with the cited work",II RELATED WORK,"For instance, Zhang et al. [10] used BERT embeddings with document graphs for fake news detection, while Liu et al. [23] applied a similar setup for anomaly detection in social networks.",INCORRECT,Object is not an AcademicPaper and no citation relationship is expressed
9205902c0196,aiabstract2025,relation_scinex,qwen3-235b,Zhang et al. [10],cites,BERT embeddings with document graphs,Method,"AcademicPaper → AcademicPaper  |  Records a bibliographic reference from one academic paper to another, indicating that the citing paper acknowledges, builds upon, or contrasts with the cited work",II RELATED WORK,"For instance, Zhang et al. [10] used BERT embeddings with document graphs for fake news detection, while Liu et al. [23] applied a similar setup for anomaly detection in social networks.",INCORRECT,"Object is a method description, not an AcademicPaper, and no citation is indicated"
1d1bf55ed393,aiabstract2025,relation_scinex,qwen3-235b,our method,comparesagainst,perplexity-based detectors,Model,Model → Model  |  Associates a model with another model to which it is directly compared in an experiment,Abstract,"Experimental results demonstrate that our method outperforms traditional baselines such as TF-IDF, RoBERTa, and perplexity-based detectors, while offering interpretable and scalable detection suitable for editorial screening pipelines.",CORRECT,Sentence explicitly states that our method outperforms perplexity‑based detectors
ef47233c300d,aiabstract2025,relation_scinex,qwen3-235b,AI-GA dataset,comprises,"28,662 labeled abstracts",Dataset,ResearchProcess → ResearchProcess  |  Relates a research process to a constituent sub-process that forms a structural part of it,Abstract,"Leveraging the AI-GA dataset comprising 28,662 labeled abstracts, we extract domain-specific semantic embeddings using Galactica and construct a semantic similarity graph to approximate citation-like relationships.",PARTIAL,"Subject is a dataset, not a ResearchProcess, violating the predicate domain"
257ab22d6428,aiabstract2025,relation_scinex,qwen3-235b,preprocessing,comprises,lowercasing the text,ResearchProcess,ResearchProcess → ResearchProcess  |  Relates a research process to a constituent sub-process that forms a structural part of it,III DATASET,"Preprocessing involved lowercasing the text, stripping non-printable characters, and truncating token sequences to a maximum length of 512 tokens to ensure compatibility with the Galactica tokenizer.",CORRECT,Sentence explicitly says preprocessing involved lowercasing the text
66535960f999,aiabstract2025,relation_scinex,qwen3-235b,Galactica,trainedon,scientific corpora,Dataset,Model → TrainingDataset  |  Directly links a model to the training dataset used to optimise its parameters during the learning phase,IV METHODOLOGY,"Galactica is pre-trained on scientific corpora (papers, textbooks, citations) and produces 768-dimensional contextual embeddings well- suited for academic language.",CORRECT,Sentence explicitly states Galactica is pre‑trained on scientific corpora
bd79c87e4caa,aiabstract2025,relation_scinex,qwen3-235b,Galactica,trainedon,scientific texts,Dataset,Model → TrainingDataset  |  Directly links a model to the training dataset used to optimise its parameters during the learning phase,Model,"Use of Galactica, a language model pretrained on scientific texts, instead of generic LLMs like BERT or GPT-2.",CORRECT,Sentence explicitly states Galactica was pretrained on scientific texts
40eaffba5d26,aiabstract2025,relation_scinex,qwen3-235b,Galactica + GNN framework,trainedon,AI-GA dataset,Dataset,Model → TrainingDataset  |  Directly links a model to the training dataset used to optimise its parameters during the learning phase,V EXPERIMENTS AND RESULTS,"To evaluate the effectiveness of our proposed Galactica + GNN framework, we conduct a series of comparative experiments using the AI-GA dataset.",INCORRECT,"Sentence mentions using the AI‑GA dataset for evaluation, not that the model was trained on it"
7da9985911ea,csysguard2024,relation_scinex,qwen3-235b,cSysGuard,comparesagainst,CNN,Model,Model → Model  |  Associates a model with another model to which it is directly compared in an experiment,A. SYSTEM METRICS FORECASTING EVALUATION,"Each graph compares the performance of cSysGuard with commonly used models such as GRU, RNN, LSTM, ARIMA, and CNN.",CORRECT,"Sentence explicitly states cSysGuard is compared with CNN and both are models, matching domain and range."
d738394e6b59,csysguard2024,relation_scinex,qwen3-235b,evaluation process,configures,10-fold cross-validation,ResearchProcess,"ExperimentalSpecification → Experiment  |  Associates an experimental specification with the experiment it governs, establishing the conditions under which the experiment runs or the criteria by which its results are assessed",B. MODEL COMPARISON,"To enhance the model's generalizability, the evaluation process employed 10-fold cross-validation, conducting several training rounds and validation on different data splits to derive the average scores.",PARTIAL,"Sentence says the evaluation process employed 10-fold cross-validation, which implies a configuration but does not explicitly state it configures it; also the object is a method rather than a clear experiment entity."
