Entity,Abbreviation,Aliases,LLM Extraction,TP,FN,FP,TN,Confusion Matrix,,Actual,,,,,,Definition
Kolmogorov-Arnold representation theorem,KAT,Kolmogov-Arnold theorem,Kolmogorov-Arnold Network,1,0,0,1,,,Positive,Negative,,,,,"Error: Exception: Request failed for https://en.wikipedia.org returned code 404. Truncated server response: {""status"":404,""type"":""Internal error""} (use muteHttpExceptions option to examine full response)"
Kolmogorov-Arnold Network,KAN,,Multi-Layer Perceptron,1,0,0,1,Prediction,Positive,64,65,TP,FP,,,"In real analysis and approximation theory, the Kolmogorov–Arnold representation theorem states that every multivariate continuous function  can be represented as a superposition of continuous single-variable functions."
Multi-Layer Perceptron,MLP,,Kolmogorov-Arnold representation theorem,1,0,0,1,,Negative,91,64,FN,TN,,,Accuracy and precision are measures of observational error; accuracy is how close a given set of measurements is to the true value and precision is how close the measurements are to each other.
spline,,,accuracy,1,0,0,1,,,,,,,,,"In mathematical logic, interpretability is a relation between formal theories that expresses the possibility of interpreting or translating one into the other."
accuracy,,,interpretability,1,0,0,1,,Recall,0.4129032258,,,,,,"Error: Exception: Request failed for https://en.wikipedia.org returned code 404. Truncated server response: {""status"":404,""type"":""Internal error""} (use muteHttpExceptions option to examine full response)"
interpretability,,,AI + Science,1,0,0,1,,Precision,0.496124031,,,,,,"Curve fitting is the process of constructing a curve, or mathematical function, that has the best fit to a series of data points, possibly subject to constraints. Curve fitting can involve either interpolation, where an exact fit to the data is required, or smoothing, in which a ""smooth"" function is constructed that approximately fits the data. A related topic is regression analysis, which focuses more on questions of statistical inference such as how much uncertainty is present in a curve that is fitted to data observed with random errors. Fitted curves can be used as an aid for data visualization, to infer values of a function where no data are available, and to summarize the relationships among two or more variables. Extrapolation refers to the use of a fitted curve beyond the range of the observed data, and is subject to a degree of uncertainty since it may reflect the method used to construct the curve as much as it reflects the observed data."
AI + Science,,,function fitting,1,0,1,0,,Specificity,0.496124031,,,,,,"In the field of machine learning, the universal approximation theorems (UATs) state that neural networks with a certain structure can, in principle, approximate any continuous function to any desired degree of accuracy. These theorems provide a mathematical justification for using neural networks, assuring researchers that a sufficiently large or deep network can model the complex, non-linear relationships often found in real-world data."
neural scaling law,,,universal approximation theorem,0,1,0,1,,F1 score,0.4507042254,,,,,,"In electrical engineering, a transformer is a passive component that transfers electrical energy from one electrical circuit to another circuit, or multiple circuits. A varying current in any coil of the transformer produces a varying magnetic flux in the transformer's core, which induces a varying electromotive force (EMF) across any other coils wound around the same core. Electrical energy can be transferred between separate coils without a metallic (conductive) connection between the two circuits. Faraday's law of induction, discovered in 1831, describes the induced voltage effect in any coil due to a changing magnetic flux encircled by the coil."
mathematic,,,Transformer,1,0,0,1,,Accuracy,0.4507042254,,,,,,"Error: Exception: Request failed for https://en.wikipedia.org returned code 404. Truncated server response: {""status"":404,""type"":""Internal error""} (use muteHttpExceptions option to examine full response)"
physic,,,attention layer,0,1,0,1,,,,,,,,,"In machine learning, backpropagation is a gradient computation method commonly used for training a neural network in computing parameter updates."
Universal Approximation Theorem,UAT,,back propagation,1,0,0,1,,,,,,,,,"In machine learning, deep learning (DL) focuses on utilizing multilayered neural networks to perform tasks such as classification, regression, and representation learning. The field takes inspiration from biological neuroscience and revolves around stacking artificial neurons into layers and ""training"" them to process data. The adjective ""deep"" refers to the use of multiple layers in the network. Methods used can be supervised, semi-supervised or unsupervised."
fixed activation function,,,deep learning,0,1,0,1,,,,,,,,,Spline may refer to:
quantization of task,,,spline,0,1,0,1,,,,,,,,,"In the context of artificial neural networks, the rectifier or ReLU activation function is an activation function defined as the non-negative part of its argument, i.e., the ramp function:"
fully-connected feedforward neural network,,,ReLU,1,0,0,1,,,,,,,,,"Poisson's equation is an elliptic partial differential equation of broad utility in theoretical physics. For example, the solution to Poisson's equation is the potential field caused by a given electric charge or mass density distribution; with the potential field known, one can then calculate the corresponding electrostatic or gravitational (force) field. It is a generalization of Laplace's equation, which is also frequently seen in physics. The equation is named after French mathematician and physicist Siméon Denis Poisson who published it in 1823."
machine learning,,,Poisson equation,1,0,0,1,,,,,,,,,"Mathematics is a field of study that discovers and organizes methods, theories, and theorems that are developed and proved either in response to the needs of empirical sciences or the needs of mathematics itself. There are many areas of mathematics, including number theory, algebra, geometry, analysis, and set theory."
nonlinear function,,,mathematic,0,1,0,1,,,,,,,,,"Physics is the scientific study of matter, its fundamental constituents, its motion and behavior through space and time, and the related entities of energy and force. It is one of the most fundamental scientific disciplines. A scientist who specializes in the field of physics is called a physicist."
