triple_id,paper,extractor,model,subject,predicate,object,object_type,predicate_definition,section,source_sentence,verdict,note
cd4b2c27b4db,csysguard2024,relation,qwen3-8b,LSTM,addresses,advanced time series forecasting,Task,"ResearchProcess/Paper → ResearchContext  |  subject must be a Paper, Model, or Method (never a ResearchTask). Object is a domain/task/objective the subject targets. STRICT: Do NOT use when a task is the subject — tasks ARE ResearchContext, they cannot address themselves",C. TECHNIQUE,"Its capability to handle long-term dependencies makes LSTM ideal for challenging tasks, such as predictive text generation, advanced time series forecasting, and language translation.",CORRECT,
fda8a7ec7764,csysguard2024,relation,qwen3-8b,cSysGuard,comparesagainst,weighted averaging,Method,Model → Model  |  BOTH subject and object must be named Models. Use when the paper explicitly benchmarks one model against another. Citation keys like 'Smith et al. (2019)' are NOT valid — use the model name,B. RELATED WORK,relying solely on weighted averaging yields a lower accuracy than cSysGuard,PARTIAL,"Object 'weighted averaging' is not a Model, violating the predicate's domain/range"
7caf164da85e,csysguard2024,relation,qwen3-8b,first literature,employs,single meta-model,Model,Organisation → Person  |  use for employment relationships,C. COMPARATIVE ANALYSIS OF DIFFERENT ENSEMBLE,"The first literature, by Mehmood et al. [23], proposed an ensemble model with a single meta-model (Decision Trees) in the second layer, which leverages predictions from the base models to determine the outcome.",INCORRECT,Predicate expects Organisation→Person; both subject and object are unrelated terms
3e5b75ac6700,csysguard2024,relation_scinex,qwen3-8b,noise reduction process,supports,minimize data inconsistencies,Concept,ExperimentalMeasurement → ExperimentalOutcome  |  Links a quantitative experimental measurement to the qualitative conclusion it provides evidence for,B. DATA PREPROCESSING,"Eventually, the system performs a noise reduction process utilizing a low-pass Butterworth filter to minimize data inconsistencies.",PARTIAL,"Subject is a process, not an ExperimentalMeasurement as required by the predicate"
4ab0e4e18d38,eyelandmark2024,relation_scinex,qwen3-8b,Eye Landmarks Detection using RT-DETR with Rules,addresses,ocular health,Concept,Publication/ResearchProcess → ResearchContext  |  Links a publication or a research process to the research context element it targets,IV RESULT AND DISCUSSION,"With the assistance of Eye Landmarks Detection using RT-DETR with Rules, clinicians can glean essential information about ocular health, facilitating early detection , accurate diagnosis , and tailored treatment strategies for a spectrum of eye diseases.",CORRECT,
9f3085da18eb,eyelandmark2024,relation_scinex,qwen3-8b,Viola and Jones,cites,"Viola, P., & Jones, M (2001)[1]",AcademicPaper,"AcademicPaper → AcademicPaper  |  Records a bibliographic reference from one academic paper to another, indicating that the citing paper acknowledges, builds upon, or contrasts with the cited work",II LITERATURE REVIEWS,"According to the paper by Viola and Jones, they present a novel approach to object detection that minimizes computation time while achieving high detection accuracy.",INCORRECT,Subject is not a paper and sentence does not state a citation relationship
d15768ffb510,eyelandmark2024,relation_scinex,qwen3-8b,deep learning model,designedfor,eye landmarks detection,Task,"Model → ResearchTask  |  Associates a model with the research task it was specifically designed or optimised to solve, such as a transformer model designed for machine translation or a CNN designed for image classification",IV RESULT AND DISCUSSION,"This study aims to create a deep learning model for eye landmarks detection , including the boundaries of the eye, the pupil, and the reflection point on the retina to assist ophthalmologists in diagnosing eye diseases.",CORRECT,
9ce35f3eb187,eyelandmark2024,relation_scinex,qwen3-8b,dataset,producedby,rules-based selection algorithms,Method,ResearchArtifact → ResearchProcess  |  Links a research artifact back to the research process that generated it,III METHOD,This dataset will undergo further preprocessing using rules-based selection algorithms proposed in this paper,INCORRECT,"Sentence describes preprocessing, not that the dataset was produced by the algorithms"
d28678a72018,gamlprop2025,relation,qwen3-8b,Hydrocarbons,encompasses,alkynes,Concept,"ResearchDomain → ResearchTask  |  subject MUST be a broad domain (NLP, Computer Vision, etc.). Object is a specific task within that domain. NEVER use a ResearchTask as the subject — tasks cannot encompass domains",1. Introduction,"Hydrocarbons, organic compounds composed solely of carbon and hydrogen atoms, are categorized into alkanes, alkenes, and alkynes.",PARTIAL,"Predicate expects ResearchDomain→ResearchTask; both terms are chemical categories, not a domain-task pair"
d7cbd926ca59,gamlprop2025,relation_scinex,qwen3-8b,Genetic Algorithm,comprises,Selection,ResearchProcess,ResearchProcess → ResearchProcess  |  Relates a research process to a constituent sub-process that forms a structural part of it,2.2 Genetic Algorithm,"The application of the Genetic Algorithm to generate chemicals with desirable properties, as illustrated in Figure 3, comprises five steps: Initialization, Population, Selection, Crossover, and Mutation.",CORRECT,
