triple_id,paper,extractor,model,subject,predicate,object,object_type,predicate_definition,section,source_sentence,verdict,note
827980d6d161,csysguard2024,relation,claude-opus-5,The low-pass Butterworth filter,addresses,high-frequency noise,Concept,"ResearchProcess/Paper → ResearchContext  |  subject must be a Paper, Model, or Method (never a ResearchTask). Object is a domain/task/objective the subject targets. STRICT: Do NOT use when a task is the subject — tasks ARE ResearchContext, they cannot address themselves",C. TECHNIQUE,"The low-pass Butterworth filter, a key concept in signal processing [30], attenuates high-frequency noise while maintaining signal integrity.",,
b9cf3709100f,csysguard2024,relation,claude-opus-5,Support Vector Machine,addresses,categorize workloads,Task,"ResearchProcess/Paper → ResearchContext  |  subject must be a Paper, Model, or Method (never a ResearchTask). Object is a domain/task/objective the subject targets. STRICT: Do NOT use when a task is the subject — tasks ARE ResearchContext, they cannot address themselves",B. RELATED WORK,"[19] proposed an alternative solution using a Support Vector Machine to categorize workloads into broad categories like ''very low,'' ''low,'' ''medium,'' and ''high.''",,
4a1542e37404,csysguard2024,relation,claude-opus-5,SMOTE,addresses,the representation of the minority class,Concept,"ResearchProcess/Paper → ResearchContext  |  subject must be a Paper, Model, or Method (never a ResearchTask). Object is a domain/task/objective the subject targets. STRICT: Do NOT use when a task is the subject — tasks ARE ResearchContext, they cannot address themselves",A. HEALTH PREDICTION LAYER,"To address this, we implemented SMOTE to enhance the representation of the minority class, thereby enhancing the model equity by creating synthetic instances of this class to improve its detection.",,
fcb2cda92359,csysguard2024,relation,claude-opus-5,cSysGuard,comparesagainst,GRU,Model,Model → Model  |  BOTH subject and object must be named Models. Use when the paper explicitly benchmarks one model against another. Citation keys like 'Smith et al. (2019)' are NOT valid — use the model name,A. SYSTEM METRICS FORECASTING EVALUATION,"Notably, this comparison also highlights cSysGuard's capability to surpass advanced deep learning models, such as GRU and LSTM, typically known for their strong performance in predictive tasks.",,
0dd082b0f574,csysguard2024,relation,claude-opus-5,cSysGuard,comparesagainst,LSTM,Model,Model → Model  |  BOTH subject and object must be named Models. Use when the paper explicitly benchmarks one model against another. Citation keys like 'Smith et al. (2019)' are NOT valid — use the model name,A. SYSTEM METRICS FORECASTING EVALUATION,"Notably, this comparison also highlights cSysGuard's capability to surpass advanced deep learning models, such as GRU and LSTM, typically known for their strong performance in predictive tasks.",,
583160a99aa7,csysguard2024,relation,claude-opus-5,Random Forest,comprises,multiple decision trees,Method,"ResearchProcess → ResearchProcess  |  BOTH subject and object must be processes/methods. Object must be an explicitly named sub-process or component — NOT a dataset, representation, or result",C. TECHNIQUE,Random Forest creates multiple decision trees to improve the prediction accuracy and robustness.,,
01e1703463ec,csysguard2024,relation,claude-opus-5,cSysGuard,designedfor,enhance monitoring capabilities,Task,Model → ResearchTask  |  use ONLY when the paper explicitly states the model was designed/built/intended for a specific task,Abstract,"Our study introduces cSysGuard, a novel framework designed to enhance monitoring capabilities within cloud environments.",,
79269fedfea1,csysguard2024,relation,claude-opus-5,cSys- Guard,uses,an ensemble machine -learning approach,Method,"ResearchProcess → ResearchArtifact  |  use when a method/model explicitly consumes a tool, dataset, or architecture",B. RELATED WORK,"In contrast, cSys- Guard employs an ensemble machine -learning approach that leverages the unique strengths of various models to achieve robust predictive capabilities.",,
0fe0ae57e408,eyelandmark2024,relation,claude-opus-5,RT- DETR with Rules,addresses,localizing eye landmarks,Task,"ResearchProcess/Paper → ResearchContext  |  subject must be a Paper, Model, or Method (never a ResearchTask). Object is a domain/task/objective the subject targets. STRICT: Do NOT use when a task is the subject — tasks ARE ResearchContext, they cannot address themselves",IV RESULT AND DISCUSSION,The consistent high-performance showcased by RT- DETR with Rules in localizing eye landmarks is indicative of its superiority in this domain.,,
1b810cbe7192,eyelandmark2024,relation,claude-opus-5,RT-DETR,comprises,a hybrid encoder,Method,"ResearchProcess → ResearchProcess  |  BOTH subject and object must be processes/methods. Object must be an explicitly named sub-process or component — NOT a dataset, representation, or result",II LITERATURE REVIEWS,"A transformer decoder with additional prediction heads, a hybrid encoder, and a backbone make up the RT-DETR.",,
9be00903d1e6,eyelandmark2024,relation,claude-opus-5,RT-DETR,comprises,A transformer decoder,Method,"ResearchProcess → ResearchProcess  |  BOTH subject and object must be processes/methods. Object must be an explicitly named sub-process or component — NOT a dataset, representation, or result",II LITERATURE REVIEWS,"A transformer decoder with additional prediction heads, a hybrid encoder, and a backbone make up the RT-DETR.",,
bdd3f64817b6,eyelandmark2024,relation,claude-opus-5,accuracy of 0.974,supports,the model's proficiency,Concept,ExperimentalMeasurement → ExperimentalOutcome  |  use when a specific number backs up a qualitative conclusion,IV RESULT AND DISCUSSION,Its notable accuracy of 0.974 speaks volumes about the model's proficiency in making correct predictions.,,
