Entity,Abbreviation,Aliases,LLM Extraction,TP,FN,FP,TN,Confusion Matrix,,Actual,,,,Definition
Bidirectional Encoder Representations from Transformers,BERT,"BERT transformer, BERT model",Bidirectional Encoder Representations from Transformers,1,0,0,1,,,Positive,Negative,,,"These datasets are used in machine learning (ML) research and have been cited in peer-reviewed academic journals. Datasets are an integral part of the field of machine learning. Major advances in this field can result from advances in learning algorithms, computer hardware, and, less intuitively, the availability of high-quality training datasets. High-quality labeled training datasets for supervised and semi-supervised machine-learning algorithms are usually difficult and expensive to produce because of the large amount of time needed to label the data. Although they do not need to be labeled, high-quality unlabeled datasets for unsupervised learning can also be difficult and costly to produce."
Natural Language Processing,NLP,,General Language Understanding Evaluation,1,0,0,1,Prediction,Positive,31,84,TP,FP,"Error: Exception: Request failed for https://en.wikipedia.org returned code 404. Truncated server response: {""status"":404,""type"":""Internal error""} (use muteHttpExceptions option to examine full response)"
General Language Understanding Evaluation,GLUE,GLUE score,Multi-Genre Natural Language Inference,1,0,0,1,,Negative,18,40,FN,TN,"Error: Exception: Request failed for https://en.wikipedia.org returned code 404. Truncated server response: {""status"":404,""type"":""Internal error""} (use muteHttpExceptions option to examine full response)"
Multi-Genre Natural Language Inference,MNLI,MultiNLI,Stanford Question Answering Dataset,1,0,1,0,,,,,,,"Error: Exception: Request failed for https://en.wikipedia.org returned code 404. Truncated server response: {""status"":404,""type"":""Internal error""} (use muteHttpExceptions option to examine full response)"
Accuracy,,,Embeddings from Language Models,1,0,0,1,,Recall,0.6326530612,115,,,"A generative pre-trained transformer (GPT) is a type of large language model (LLM) that is widely used in generative artificial intelligence chatbots. GPTs are based on a deep learning architecture called the transformer. They are pre-trained on large datasets of unlabeled content, and able to generate novel content."
SQuAD v1.1,,,Generative Pre-trained Transformer,0,1,0,1,,Precision,0.2695652174,,,,"""Attention Is All You Need"" is a 2017 research paper in machine learning authored by eight scientists and engineers working at Google. The paper introduced a new deep learning architecture known as the transformer, based on the attention mechanism proposed in 2014 by Bahdanau et al. The transformer approach it describes has become the main architecture of a wide variety of artificial intelligence, including large language models. At the time, the focus of the research was on improving Seq2seq techniques for machine translation, but the authors go further in the paper, foreseeing the technique's potential for other tasks like question answering and what is now known as multimodal generative AI."
Question Answering,QA,,Attention Is All You Need,0,1,1,0,,Specificity,0.3225806452,,,,"Error: Exception: Request failed for https://en.wikipedia.org returned code 404. Truncated server response: {""status"":404,""type"":""Internal error""} (use muteHttpExceptions option to examine full response)"
F1 score,,F1,Masked Language Model,1,0,0,1,,F1 score,0.3780487805,,,,"Natural language processing (NLP) is the processing of natural language information by a computer. NLP is a subfield of computer science and is closely associated with artificial intelligence. NLP is also related to information retrieval, knowledge representation, computational linguistics, and linguistics more broadly."
Paraphrasing,,,Natural Language Processing,1,0,0,1,,Accuracy,0.4104046243,,,,"Sentiment analysis is the use of natural language processing, text analysis, computational linguistics, and biometrics to systematically identify, extract, quantify, and study affective states and subjective information. Sentiment analysis is widely applied to voice of the customer materials such as reviews and survey responses, online and social media, and healthcare materials for applications that range from marketing to customer service to clinical medicine. With the rise of deep language models, such as RoBERTa, more difficult data domains can be analyzed, e.g., news texts where authors typically express their opinion/sentiment less explicitly."
Named Entity Recognition,NER,,Sentiment Analysis,1,0,0,1,,,,,,,"Named-entity recognition (NER) (also known as (named) entity identification, entity chunking, and entity extraction) is a subtask of information extraction that seeks to locate and classify named entities mentioned in unstructured text into pre-defined categories such as person names (PER), organizations (ORG), locations (LOC), geopolitical entities (GPE), vehicles (VEH), medical codes, time expressions, quantities, monetary values, percentages, etc."
