Entity,Abbreviation,Aliases,LLM Extraction,TP,FN,FP,TN,Confusion Matrix,,Actual,,,,Actual Labels,Predicted Labels,,,Accuracy,,Definition
Artificial intelligence ,AI,,Medical Generative Model for Medical Applications (brand name),0,1,1,0,,,Positive,Negative,,,Model/Architecture,Model/Architecture,Yes,140,0.7,,"Error: Exception: Request failed for https://en.wikipedia.org returned code 404. Truncated server response: {""status"":404,""type"":""Internal error""} (use muteHttpExceptions option to examine full response)"
Medgemma,,,Medical Signal Learning via Image Pretraining (MedSigLIP),0,1,1,0,Prediction,Positive,85,117,TP,FP,Model/Architecture,Model/Architecture,Yes,60,,,"Error: Exception: Request failed for https://en.wikipedia.org returned code 404. Truncated server response: {""status"":404,""type"":""Internal error""} (use muteHttpExceptions option to examine full response)"
Gemma 3 4B,,,gemma 3,1,0,0,1,,Negative,99,83,FN,TN,Model/Architecture,Model/Architecture,Yes,,,,"Gemma is a series of source-available large language models developed by Google DeepMind. It is based on similar technologies as Gemini. The first version was released in February 2024, followed by Gemma 2 in June 2024, Gemma 3 in March 2025, and the free and open-source Gemma 4 in April 2026. Variants of Gemma have also been developed, such as the vision-language model PaliGemma and the model MedGemma for medical consultation topics."
Gemma 3 27B,,,Medical Generative Model for Medical Applications (brand name) 27 Billion Parameters,0,1,1,0,,,,,,,Model/Architecture,Model/Architecture,Yes,,,,"Error: Exception: Request failed for https://en.wikipedia.org returned code 404. Truncated server response: {""status"":404,""type"":""Internal error""} (use muteHttpExceptions option to examine full response)"
Medical multimodal question answering,,,mimic Chest X‑Ray,0,1,1,0,,Recall,0.4619565217,,,,Model/Architecture,Dataset/Benchmark,No,,,,"Error: Exception: Request failed for https://en.wikipedia.org returned code 404. Truncated server response: {""status"":404,""type"":""Internal error""} (use muteHttpExceptions option to examine full response)"
Chest X-ray finding classification,,,Medical Question Answering,0,1,1,0,,Precision,0.4207920792,,,,Learning Paradigm/Task,Scientific Domain/Problem,No,,,,"Error: Exception: Request failed for https://en.wikipedia.org returned code 404. Truncated server response: {""status"":404,""type"":""Internal error""} (use muteHttpExceptions option to examine full response)"
Pneumothorax classification,,,dermatology,1,0,0,1,,Specificity,0.415,,,,Scientific Domain/Problem,Scientific Domain/Problem,Yes,,,,Dermatology is the branch of medicine dealing with the skin. It is a specialty with both medical and surgical aspects. A dermatologist is a specialist medical doctor who has undergone advanced training and manages diseases related to skin.
Histopathology patch type classification,,,histopathology,0,1,0,1,,F1 score,0.4404145078,,,,Scientific Domain/Problem,Scientific Domain/Problem,Yes,,,,"Histopathology is the microscopic examination of tissue in order to study the manifestations of disease. Specifically, in clinical medicine, histopathology refers to the examination of a biopsy or surgical specimen by a pathologist, after the specimen has been processed and histological sections have been placed onto glass slides. In contrast, cytopathology examines free cells or tissue micro-fragments."
SigLIP,,SigLIP encoder,visual question answering,1,0,1,0,,Accuracy,0.4375,,,,Learning Paradigm/Task,Learning Paradigm/Task,Yes,,,,Question answering (QA) is a computer science discipline within the fields of information retrieval and natural language processing (NLP) that is concerned with building systems that automatically answer questions that are posed by humans in a natural language.
MedSigLIP,,,med General‑purpose large language model (general model),0,1,1,0,,,,,,,Model/Architecture,Model/Architecture,Yes,,,,"Error: Exception: Request failed for https://en.wikipedia.org returned code 404. Truncated server response: {""status"":404,""type"":""Internal error""} (use muteHttpExceptions option to examine full response)"
Large multimodal model,LLM,,Medical Multiple‑Choice Question Answering,0,1,1,0,,,,,,,Model/Architecture,Learning Paradigm/Task,No,,,,"Error: Exception: Request failed for https://en.wikipedia.org returned code 429. Truncated server response: You are making too many requests to the API.
Please follow the best practices at <https://www.mediawiki.org/wiki/Wikimedia_APIs/Rate_limits>.
If yo... (use muteHttpExceptions option to examine full response)"
Gemma 3,,,Public Database of Medical Questions and Answers,1,0,1,0,,,,,,,Learning Paradigm/Task,Dataset/Benchmark,No,,,,"Error: Exception: Request failed for https://en.wikipedia.org returned code 404. Truncated server response: {""status"":404,""type"":""Internal error""} (use muteHttpExceptions option to examine full response)"
Vision Question Answering,VQA,,Massive Multitask Language Understanding med,1,0,1,0,,,,,,,Learning Paradigm/Task,Dataset/Benchmark,No,,,,"Error: Exception: Request failed for https://en.wikipedia.org returned code 429. Truncated server response: You are making too many requests to the API.
Please follow the best practices at <https://www.mediawiki.org/wiki/Wikimedia_APIs/Rate_limits>.
If yo... (use muteHttpExceptions option to examine full response)"
Med-Gemini,,,chest x ray,0,1,1,0,,,,,,,Dataset/Benchmark,Dataset/Benchmark,Yes,,,,"A chest radiograph, chest X-ray (CXR), or  chest film is a projection radiograph of the chest used to diagnose conditions affecting the chest, its contents, and nearby structures. Chest radiographs are the most common film taken in medicine."
