triple_id,paper,extractor,model,subject,predicate,object,object_type,predicate_definition,section,source_sentence,verdict,note
122b4aa965d1,aiabstract2025,relation_scinex,qwen3-8b-v2,false positive example,extractedfrom,theoretical computer science paper,AcademicPaper,? → AcademicPaper  |  Links an extracted entity to the academic paper it was extracted from.,V EXPERIMENTS AND RESULTS,One false positive example was a human-written abstract from a theoretical computer science paper that used concise and formulaic language—often resembling LLM-generated text.,,
c0410bef5d6e,aiabstract2025,relation_scinex,qwen3-8b-v2,AI-GA (AI-Generated Abstracts) dataset,producedby,this study,ResearchProcess,ResearchArtifact → ResearchProcess  |  Links a research artifact back to the research process that generated it,III DATASET,This study utilizes the AI-GA (AI-Generated Abstracts) dataset [24],,
35fba135955a,aiabstract2025,relation_scinex,qwen3-8b-v2,Section 3,reports,the AI-GA dataset and the preprocessing steps involved,ResearchProcess,"AcademicPaper → ResearchProcess  |  Associates an academic paper with the research processes it describes, including its methodology, data processing pipeline, and experiments",I INTRODUCTION,Section 3 describes the AI-GA dataset and the preprocessing steps involved.,,
9c535cf9625d,aiabstract2025,relation_scinex,qwen3-8b-v2,k-NN semantic graphs,supports,citation-like proximity,Concept,ExperimentalMeasurement → ExperimentalOutcome  |  Links a quantitative experimental measurement to the qualitative conclusion it provides evidence for,V EXPERIMENTS AND RESULTS,The use of k-NN semantic graphs enables the model to exploit relational context—such as topical clusters and citation-like proximity—that purely text-based models overlook.,,
fd61e41b53f6,csysguard2024,relation_scinex,qwen3-8b-v2,cSysGuard,addresses,data preprocessing strategies,ResearchContext,Publication/ResearchProcess → ResearchContext  |  Links a publication or a research process to the research context element it targets,I INTRODUCTION,"We then transition to a compre- hensive overview of cSysGuard's methodology (Section III), detailing the high-level workings, component functionalities, and data preprocessing strategies.",,
776c805a851c,csysguard2024,relation_scinex,qwen3-8b-v2,health predictor,designedfor,determine the system 's health,Task,"Model → ResearchTask  |  Associates a model with the research task it was specifically designed or optimised to solve, such as a transformer model designed for machine translation or a CNN designed for image classification",A. HEALTH PREDICTION LAYER,The health predictor represents the last layer in our pre- dictive framework . It has a classification model designed to determine the system 's health .,,
462673f8dcd7,csysguard2024,relation_scinex,qwen3-8b-v2,Decision Trees,employs,hyperparameter tuning,Method,Organisation → Person  |  Associates an organisation with the persons who work for or are institutionally employed by it at the time of a research publication,Abstract,"The effectiveness of health assessment was achieved through Decision Trees with hyperparameter tuning, resulting in a macro- averaged F1 score of 89.79%.",,
09c9bbdd1c7a,csysguard2024,relation_scinex,qwen3-8b-v2,cSysGuard,employs,a fine-tuned classification model,Model,Organisation → Person  |  Associates an organisation with the persons who work for or are institutionally employed by it at the time of a research publication,D. cSysGuard PERFORMANCE OVERHEAD,"Furthermore, cSysGuard examines these forecasts to determine system failover through a fine-tuned classification model.",,
b189597a5f97,csysguard2024,relation_scinex,qwen3-8b-v2,cSysGuard,employs,multi-layered stacking ensemble approach,Method,Organisation → Person  |  Associates an organisation with the persons who work for or are institutionally employed by it at the time of a research publication,B. RELATED WORK,cSysGuard employs a multi-layered stacking ensemble approach with a weighted averaging strategy,,
c85a1f888bd8,csysguard2024,relation_scinex,qwen3-8b-v2,Level-1 model,evaluatedon,RMSE,Metric,Experiment → Dataset  |  Directly links an experiment to the dataset used to assess the final performance of its model(s),B. LEVEL-1 LEARNER,"We then incrementally incorporated Level-0 models into each Level-1 learner, starting with those having the highest correlation scores, and assessed P(xi −¯x)(yi −¯y) pP(xi −¯x)2 P(yi −¯y)2 (5) the predictive performance of each Level-1 model using the RMSE.",,
d0bfcdb34778,csysguard2024,relation_scinex,qwen3-8b-v2,cSysGuard,evaluatedon,dynamic performance metrics,Dataset,Experiment → Dataset  |  Directly links an experiment to the dataset used to assess the final performance of its model(s),Abstract,"Under the configuration utilized, our evaluations demonstrated increased predictive performance with cSysGuard in forecasting various metrics compared to traditional models.",,
4b6c47b8627b,csysguard2024,relation_scinex,qwen3-8b-v2,cSysGuard,produces,a novel framework,Model,ResearchProcess → ResearchArtifact  |  Relates a research process to the research artifact it generates as output,Abstract,"Our study introduces cSysGuard, a novel framework designed to enhance monitoring capabilities within cloud environments.",,
8b0167995b05,eyelandmark2024,relation_scinex,qwen3-8b-v2,"Newkirk, Kimberly (2007)",cites,"Newkirk, Kimberly (2007)",AcademicPaper,"AcademicPaper → AcademicPaper  |  Records a bibliographic reference from one academic paper to another, indicating that the citing paper acknowledges, builds upon, or contrasts with the cited work",IV RESULT AND DISCUSSION,"Møller-Pedersen, Torben (2004)[6] proposed a new category of corneal transparency disorders, emphasizing the role of abnormal cellular-based reflections, while Newkirk, Kimberly (2007)[7] identified UVR-induced corneal degeneration in mice, including loss of keratocytes and cataract formation.",,
b70978687c09,eyelandmark2024,relation_scinex,qwen3-8b-v2,RT-DETR,comprises,hybrid encoder,Model,ResearchProcess → ResearchProcess  |  Relates a research process to a constituent sub-process that forms a structural part of it,II LITERATURE REVIEWS,"A transformer decoder with additional prediction heads, a hybrid encoder, and a backbone make up the RT-DETR.",,
066540467c97,eyelandmark2024,relation_scinex,qwen3-8b-v2,This study,motivates,revolutionize eye landmark recognition,ResearchObjective,ResearchObjective → ResearchProcess  |  Links a research objective to the research process it drives,I INTRODUCTION,This study embarks on an exploration to revolutionize eye landmark recognition by leveraging the prowess of deep learning methodologies.,,
87d1e2c57014,gamlprop2025,relation_scinex,qwen3-8b-v2,Constantinou and Gani (1994),cites,previous research,Other,"AcademicPaper → AcademicPaper  |  Records a bibliographic reference from one academic paper to another, indicating that the citing paper acknowledges, builds upon, or contrasts with the cited work",3.1 Model Refinement with Cross-Validation,"As stated in previous research , a comparison of results with conventional group- contribution methods, such as the works of Marrero and Gani (2001), Constantinou and Gani (1994), and Joback and Reid (1987), revealed significantly lower errors in terms of both RMSE and MAPE for all chemical groups when the earlier method was applied without cross-validation.",,
dc3831dc3828,gamlprop2025,relation_scinex,qwen3-8b-v2,Joback and Reid (1987),cites,previous research,Other,"AcademicPaper → AcademicPaper  |  Records a bibliographic reference from one academic paper to another, indicating that the citing paper acknowledges, builds upon, or contrasts with the cited work",3.1 Model Refinement with Cross-Validation,"As stated in previous research , a comparison of results with conventional group- contribution methods, such as the works of Marrero and Gani (2001), Constantinou and Gani (1994), and Joback and Reid (1987), revealed significantly lower errors in terms of both RMSE and MAPE for all chemical groups when the earlier method was applied without cross-validation.",,
9cf63d3b7e09,llamacorrupt2025,relation_scinex,qwen3-8b-v2,Rathachai Chawuthai,affiliatedwith,ASSE 2025,Organisation,Agent → Organisation  |  Associates an agent with an organisation to which they are professionally attached during a research activity,1 Introduction,"ASSE 2025, September 17–19, 2025, Tokyo, Japan Rathachai Chawuthai et al.",,
4f2870fc4f16,llamacorrupt2025,relation_scinex,qwen3-8b-v2,ROUGE,configures,ROUGE-L,Metric,"ExperimentalSpecification → Experiment  |  Associates an experimental specification with the experiment it governs, establishing the conditions under which the experiment runs or the criteria by which its results are assessed",2.3 Evaluation Method,"For the ROUGE score, we use ROUGE-1, ROUGE-2, and ROUGE- L.",,
189fc9d9fd82,llamacorrupt2025,relation_scinex,qwen3-8b-v2,Experiment 4,evaluatedon,feed-forward network matrices in all layers,Dataset,Experiment → Dataset  |  Directly links an experiment to the dataset used to assess the final performance of its model(s),2.4 Experiments,Experiment 4: To explore the behavior of LLMs based on the percentage of corrupted parameters in feed-forward network matrices in all layers.,,
7b8c52de085b,llamacorrupt2025,relation_scinex,qwen3-8b-v2,BERT score,evaluates,0.2,Metric,EvaluationMetric → ExperimentalResult  |  Links an evaluation metric to the experimental result it quantitatively assesses,3.1 Experimental Results,"The BERT score dropped from approximately 0.5 to 0.2, while the ROUGE score decreased to 0 when the corruption reached between 20% and 30%.",,
ac687d25a988,llamacorrupt2025,relation_scinex,qwen3-8b-v2,F1 score,evaluates,88.5,Metric,EvaluationMetric → ExperimentalResult  |  Links an evaluation metric to the experimental result it quantitatively assesses,2.3 Evaluation Method,"All evaluation results, including both BERT and ROUGE, will be presented using the F1 score.",,
383a98c9e60d,llamacorrupt2025,relation_scinex,qwen3-8b-v2,ASSE 2025,locatedin,"Tokyo, Japan",Place,Organisation → Place  |  Associates an organisation with the geographic place in which it is situated,1 Introduction,"ASSE 2025, September 17–19, 2025, Tokyo, Japan Rathachai Chawuthai et al.",,
84065ea30697,llamacorrupt2025,relation_scinex,qwen3-8b-v2,This research,produces,controlled experiments,ResearchProcess,ResearchProcess → ResearchArtifact  |  Relates a research process to the research artifact it generates as output,1 Introduction,"This research methodically investigates the impact of corrupted parameters on the efficacy of LLM. We conduct controlled exper- iments to introduce perturbations to various model parameters and evaluate the consequent decline in accuracy, robustness, and task efficacy.",,
456df401e1bf,llamacorrupt2025,relation_scinex,qwen3-8b-v2,Question-answering Natural Language Inference (QNLI) dataset,splitfrom,General Language Understanding Evaluation (GLUE) benchmark,Dataset,Dataset → Dataset  |  Records that a dataset partition was derived from a larger source dataset,2.2 Selected Test Data,We selected the Question-answering Natural Language Inference (QNLI) dataset from the General Language Understanding Evaluation (GLUE) benchmark for this study [6],,
d30a6398ead6,microwave2018,relation_scinex,qwen3-8b-v2,Logistic Regression,comparesagainst,ANN,Method,Model → Model  |  Associates a model with another model to which it is directly compared in an experiment,II LITERATURE REVIEW,"The 4 classifier methods: Logistic Regression [6], Decision Tree [7], ANN [7], and SVM [8] are employed in our analytic process. The result of 4 methods are compared and discussed",,
12dad2dec8be,microwave2018,relation_scinex,qwen3-8b-v2,Logistic Regression,comparesagainst,SVM,Method,Model → Model  |  Associates a model with another model to which it is directly compared in an experiment,II LITERATURE REVIEW,"The 4 classifier methods: Logistic Regression [6], Decision Tree [7], ANN [7], and SVM [8] are employed in our analytic process. The result of 4 methods are compared and discussed",,
29bb8f0a4e8d,microwave2018,relation_scinex,qwen3-8b-v2,Support Vector Machine (SVM),employs,hyperplane for dividing members of two classes,Concept,Organisation → Person  |  Associates an organisation with the persons who work for or are institutionally employed by it at the time of a research publication,II LITERATURE REVIEW,The Support Vector Machine (SVM) [8] is one machine learning technique for addressing a classification problem.,,
2c312a8540c2,microwave2018,relation_scinex,qwen3-8b-v2,sensor box,locatedin,short table,Place,Organisation → Place  |  Associates an organisation with the geographic place in which it is situated,II LITERATURE REVIEW,The sensor box is put at a short table.,,
d031bd9d9f32,microwave2018,relation_scinex,qwen3-8b-v2,motion sensor,supports,user convenience,ExperimentalOutcome,ExperimentalMeasurement → ExperimentalOutcome  |  Links a quantitative experimental measurement to the qualitative conclusion it provides evidence for,IV RESULT AND DISCUSION,"The solution such as the kick activation is a proper solution that returns user convenience. In this case, a motion sensor becomes a key player in this solution.",,
719f357bc133,osmotic2026,relation_scinex,qwen3-8b-v2,this study,achievesresult,higher overall average %MAPE,Other,Model → ExperimentalResult  |  Links a model to an experimental result (metric outcome) it achieves.,Comparison and discussion,"However, it is important to note that the overall average %MAPE for the method presented in this study is higher than that of Belvèze and Akbari.",,
e145b5d72d93,osmotic2026,relation_scinex,qwen3-8b-v2,decision tree (DT),comparesagainst,Gaussian process (GP) algorithms,Method,Model → Model  |  Associates a model with another model to which it is directly compared in an experiment,Results and discussion,Comparison was made between the decision tree (DT) and Gaussian process (GP) algorithms to assess their performance in predicting osmotic coefficients.,,
3d4cb62ad3cf,osmotic2026,relation_scinex,qwen3-8b-v2,mean absolute percentage error,evaluates,%MAPE,Metric,EvaluationMetric → ExperimentalResult  |  Links an evaluation metric to the experimental result it quantitatively assesses,Model performances analysis,"The assessment employs the coefficient of determination ( R2) in Eq. (2), the root mean square error ( RMSE) in Eq. (3), the mean absolute error ( MAE) in Eq. (4), and the mean absolute percentage error ( %MAPE) in Eq. where ys denotes Collected activity or osmotic coefficients from different sources. yp denotes Predicted activity or osmotic coefficients. −y denotes Average of the collected activity or osmotic coefficients. n denotes Total number of data.",,
71445e6a765e,oxidecrack2025,relation_scinex,qwen3-8b-v2,Fine-tuned hyperparameters,configures,Criterion: Gini index,ExperimentalSpecification,"ExperimentalSpecification → Experiment  |  Associates an experimental specification with the experiment it governs, establishing the conditions under which the experiment runs or the criteria by which its results are assessed",Results and discussion,Fine-tuned hyperparameters: - Criterion: Gini index - Minimum number of samples required to split: 2,,
08eebb775016,oxidecrack2025,relation_scinex,qwen3-8b-v2,True-Negative (TN),mentions,binary classification evaluation,Concept,"AcademicPaper → ?  |  Links an academic paper to an entity, model, dataset or result extracted from it.",Classification evaluation,"In the context of binary classification evaluation, terms like True-Positive (TP), True-Negative (TN), False- Positive (FP), and False-Negative (FN) are frequently used to assess a model's performance.",,
7ef5bcfdf4ed,parkingyolo2023,relation_scinex,qwen3-8b-v2,OC-SORT,achievesresult,IDF1,ExperimentalResult,Model → ExperimentalResult  |  Links a model to an experimental result (metric outcome) it achieves.,2.2. Vehicle Tracking,"OC-SORT outperforms all the existing tracking algorithm in many metrics, such as HOTA, AssA and IDF1.",,
56b7ef87a1e1,parkingyolo2023,relation_scinex,qwen3-8b-v2,OC-SORT Algorithm,achievesresult,high performance,ExperimentalResult,Model → ExperimentalResult  |  Links a model to an experimental result (metric outcome) it achieves.,2.2. Vehicle Tracking,This result shows strong evidence of the high performance of the OC-SORT Algorithm.,,
f80891377302,parkingyolo2023,relation_scinex,qwen3-8b-v2,OC-SORT,achievesresult,HOTA,ExperimentalResult,Model → ExperimentalResult  |  Links a model to an experimental result (metric outcome) it achieves.,2.2. Vehicle Tracking,"OC-SORT outperforms all the existing tracking algorithm in many metrics, such as HOTA, AssA and IDF1.",,
c80cb68fe853,parkingyolo2023,relation_scinex,qwen3-8b-v2,C2f module,addresses,Cross Stage Partial (CSP),Concept,Publication/ResearchProcess → ResearchContext  |  Links a publication or a research process to the research context element it targets,3.2. Vehicle Detection,"In the backbone architecture, the C2f module, based on Cross Stage Partial (CSP), is used in YOLOv8, as opposed to the C3 Module used in YOLOv5.",,
b49a9532293f,parkingyolo2023,relation_scinex,qwen3-8b-v2,video samples,encompasses,various daylight and weather settings,Concept,ResearchDomain → ResearchTask  |  Relates a research domain to the research tasks that fall within its scope,3.1. Dataset,"The video samples within the dataset encompassed various daylight and weather settings, offering a comprehensive representation of the parking lot scenarios at KMITL",,
24851a447f71,parkingyolo2023,relation_scinex,qwen3-8b-v2,video samples,encompasses,parking lot scenarios,Concept,ResearchDomain → ResearchTask  |  Relates a research domain to the research tasks that fall within its scope,3.1. Dataset,"The video samples within the dataset encompassed various daylight and weather settings, offering a comprehensive representation of the parking lot scenarios at KMITL",,
efe88a254759,parkingyolo2023,relation_scinex,qwen3-8b-v2,color vector features,uses,SVM classifier,Method,ResearchProcess → ResearchArtifact  |  Relates a research process to a research artifact it consumes as input,2.1. Object Detection,one of the first attempts to tackle the issue of parking lot monitoring using machine learning utilized color vector features on an SVM classifier to distinguish parking spaces inside a parking lot in 2002 [20].,,
0d505cdf96ec,pesticide2025,relation_scinex,qwen3-8b-v2,FMC Corporation,affiliatedwith,All chemical compounds,Other,Agent → Organisation  |  Associates an agent with an organisation to which they are professionally attached during a research activity,2.3.1. Reagents,"All chemical compounds, excluding deionized water produced in- house, were procured from either Merck or FMC Corporation.",,
0edf04095192,pesticide2025,relation_scinex,qwen3-8b-v2,Merck,affiliatedwith,All chemical compounds,Other,Agent → Organisation  |  Associates an agent with an organisation to which they are professionally attached during a research activity,2.3.1. Reagents,"All chemical compounds, excluding deionized water produced in- house, were procured from either Merck or FMC Corporation.",,
d8302302a1ef,pesticide2025,relation_scinex,qwen3-8b-v2,This approach,comparesagainst,other low-cost spectro photometers,Concept,Model → Model  |  Associates a model with another model to which it is directly compared in an experiment,3.7. Discussions,This approach enables broader appli cation with greater confidence compared to other low-cost spectro photometers.,,
7e9396d60713,pesticide2025,relation_scinex,qwen3-8b-v2,machine learning model,trainedon,four algorithms,Model,Model → TrainingDataset  |  Directly links a model to the training dataset used to optimise its parameters during the learning phase,1. Introduction,A machine learning model trained on four algorithms with feature selection and cross- validation demonstrates high accuracy in predicting chemical concentrations of coloured solutions.,,
8dbdcdb5f0f7,reststop2018,relation_scinex,qwen3-8b-v2,increasing of the γ,achieves,inverse result of the AUC,Metric,ResearchProcess → ResearchObjective  |  Links a research process to the research objective it fulfils,4.3. Result,the increasing of the γ provides the inverse result of the AUC.,,
5e7d53a780a8,reststop2018,relation_scinex,qwen3-8b-v2,rest stops,addresses,improve transportation,Concept,Publication/ResearchProcess → ResearchContext  |  Links a publication or a research process to the research context element it targets,Abstract,"This predicted result is also useful for a government department and rest stops' owner to improve transportation , road safety, and other service .",,
5501cf088730,reststop2018,relation_scinex,qwen3-8b-v2,the report,reports,the experiment,ResearchProcess,"AcademicPaper → ResearchProcess  |  Associates an academic paper with the research processes it describes, including its methodology, data processing pipeline, and experiments",4.1. Experiment,"In this step, the report is generated by grouping the vtype and time1 in terms of daytime and nighttime with the average of AUC in these groups in order to demonstrate the accuracy of our approach.",,
9dddeb95177a,roadwaylight2018,relation_scinex,qwen3-8b-v2,visualization report,produces,quality of luminance on a street at nighttime,Concept,ResearchProcess → ResearchArtifact  |  Relates a research process to the research artifact it generates as output,5. Conclusions,A visualization report was developed by displaying the quality of luminance on a street at nighttime and the locations of pavement defects with their severity levels.,,
9e7e7af0905a,routepred2023,relation_scinex,qwen3-8b-v2,"Antonio, et al.",cites,HMM,Concept,"AcademicPaper → AcademicPaper  |  Records a bibliographic reference from one academic paper to another, indicating that the citing paper acknowledges, builds upon, or contrasts with the cited work",II BACKGROUND,"The first paper, Antonio, et al. [1], use the HMM [3] for predicting the destinations of users from trajectory data of personal GPS devices obtained from different users.",,
d94456e8ecbf,strabismus2026,relation_scinex,qwen3-8b-v2,Random Forest (RF),achieves,NPV of 0.92,Metric,ResearchProcess → ResearchObjective  |  Links a research process to the research objective it fulfils,Result of strabismus classification,"Among the models tested, Random Forest (RF) yielded the best overall performance: accuracy of 0.95, specificity of 0.94, sensitivity of 0.96, PPV (or precision) of 0.97, and NPV of 0.92.",,
893520c60516,strabismus2026,relation_scinex,qwen3-8b-v2,RT-DETR,achieves,53.0% mean average precision (mAP) on COCO val2017,ExperimentalResult,ResearchProcess → ResearchObjective  |  Links a research process to the research objective it fulfils,Object detections,RT-DETR-L achieves 53.0% mean average precision (mAP) on COCO val2017 and 114 frames per second (FPS) on an NVIDIA Tesla T4 GPU.,,
238d5a5ea615,strabismus2026,relation_scinex,qwen3-8b-v2,Focused selection,achieves,reduces decoding noise and enhances convergence efficiency,Concept,ResearchProcess → ResearchObjective  |  Links a research process to the research objective it fulfils,Technical advantages of the proposed methodology,"Focused selection reduces decoding noise and enhances convergence efficiency, making eye corners, pupils, and eyelid curves easier to recognize.",,
ae55fa877aac,strabismus2026,relation_scinex,qwen3-8b-v2,RT-DETR-X,achieves,54.8% AP,ExperimentalResult,ResearchProcess → ResearchObjective  |  Links a research process to the research objective it fulfils,Object detections,"RT-DETR-X achieves 54.8% AP, outperforming existing YOLO-based detectors18.",,
100157866ccb,strabismus2026,relation_scinex,qwen3-8b-v2,two-stage system,comprises,Real-Time Detection Transformer (RT-DETR),Model,ResearchProcess → ResearchProcess  |  Relates a research process to a constituent sub-process that forms a structural part of it,Abstract,"This two-stage system combines Real-Time Detection Transformer (RT-DETR) to localize nine ocular landmarks per eye across three gaze directions (left, center, right), and supervised machine learning classifiers.",,
