triple_id,paper,extractor,model,subject,predicate,object,object_type,predicate_definition,section,source_sentence,verdict,note
02b4e602c975,aiabstract2025,relation,gemma3-12b,SciBERT,employs,learned semantic patterns,Concept,Organisation → Person  |  use for employment relationships,Model,"Fine-tuned language models such as RoBERTa [19], De- BERTa [21], and SciBERT [18] have been employed to distin- guish human- and AI-generated text based on learned semantic patterns.",,
bd6d73d2c62a,aiabstract2025,relation,gemma3-12b,Galactica,produces,contextualized embeddings,Other,ResearchProcess → ResearchArtifact  |  use when a process explicitly creates a new artifact,I INTRODUCTION,Galactica produces contextualized embeddings that serve as strong representations for downstream analysis of scientific texts.,,
b60c9ae38a4c,aiabstract2025,relation,gemma3-12b,GLTR,publishedin,IEEE Xplore,PublicationVenue,AcademicPaper → PublicationVenue  |  use for journal/conference names only,I INTRODUCTION,"Recent works like DetectGPT [9] and GLTR [17] have explored token-level predictability and statis- tical irregularities, but these methods often struggle with more advanced LLM outputs and do not leverage domain-specific structure.",,
54cdebaa31bc,aiabstract2025,relation,gemma3-12b,Section 8,reports,main contributions,ResearchProcess,AcademicPaper → ResearchProcess  |  subject MUST be the paper itself (rare in fixed extraction — only use when the sentence is about what the paper as a whole describes). Do NOT use with Model or Method as subject — use achieves instead,I INTRODUCTION,"Finally, Section 8 concludes the paper and summarizes the main contributions.",,
04760c19ce60,csysguard2024,relation,gemma3-12b,optimized Decision Trees,achieves,approximately 1.66% in recall,Metric,ResearchProcess → ResearchObjective  |  use when a model/method attains a specific result or goal. USE THIS instead of reports when subject is a Model,B. SYSTEM HEALTH ASSESSMENT EVALUATION,"The results indicate that the optimized Decision Trees outperform the original model, showing enhancements of approximately 1.56% in precision, 1.66% in recall, and 1.67% in the F1 score.",,
3e83651acff0,csysguard2024,relation,gemma3-12b,Random Forest,achieves,prediction accuracy and robustness,ResearchObjective,ResearchProcess → ResearchObjective  |  use when a model/method attains a specific result or goal. USE THIS instead of reports when subject is a Model,C. TECHNIQUE,Random Forest creates multiple decision trees to improve the prediction accuracy and robustness.,,
93686d92eeda,csysguard2024,relation,gemma3-12b,cSysGuard,addresses,predictive capabilities,Concept,"ResearchProcess/Paper → ResearchContext  |  subject must be a Paper, Model, or Method (never a ResearchTask). Object is a domain/task/objective the subject targets. STRICT: Do NOT use when a task is the subject — tasks ARE ResearchContext, they cannot address themselves",I INTRODUCTION,"The paper culmi- nates in the Results and Discussion sections (Section VI), presenting a critical evaluation of cSysGuard's predictive capabilities, followed by a conclusion (Section VII) that encapsulates the essential findings and suggests avenues for future research.",,
422760d748ef,csysguard2024,relation,gemma3-12b,RATHACHAI CHAWUTHAI,affiliatedwith,National Institute of Informatics,Organisation,Agent → Organisation  |  use for institutional affiliation,What,"RATHACHAI CHAWUTHAI received the Ph.D. degree in informatics from SOKENDAI and National Institute of Informatics, Kanagawa, Japan, in 2016.",,
e2ffeebc0bf4,csysguard2024,relation,gemma3-12b,Kim et al. [22],cites,CloudInsight,Model,AcademicPaper → AcademicPaper  |  use when a paper cites another paper by name,C. COMPARATIVE ANALYSIS OF DIFFERENT ENSEMBLE,"The second publication, by Kim et al. [22], introduced an ensemble model framework named CloudInsight.",,
a851bd7b2eeb,csysguard2024,relation,gemma3-12b,Decision Trees,comparesagainst,K-Nearest Neighbors,Model,Model → Model  |  BOTH subject and object must be named Models. Use when the paper explicitly benchmarks one model against another. Citation keys like 'Smith et al. (2019)' are NOT valid — use the model name,B. MODEL COMPARISON,"For this analysis , we selected five prominent models: Decision Trees, Support Vector Machines, K-Nearest Neighbors, Logistic Regression, and Neural Networks.",,
