triple_id,paper,extractor,model,subject,predicate,object,object_type,predicate_definition,section,source_sentence,verdict,note
fcf76552f0c5,csysguard2024,relation,qwen3-8b,Random Forest,addresses,whether bootstrap samples are used,Concept,"ResearchProcess/Paper → ResearchContext  |  subject must be a Paper, Model, or Method (never a ResearchTask). Object is a domain/task/objective the subject targets. STRICT: Do NOT use when a task is the subject — tasks ARE ResearchContext, they cannot address themselves",E. HYPERPARAMETER TUNING,"For the Random Forest, considered parameters entail the number of trees (estimators), tree depth (max depth), minimum samples for a split (min sample split), minimum samples per leaf (min sample leaf), maximum number of features considered for splitting a node (max features), maximum number of leaf nodes (max-leaf nodes), minimum impurity decrease for a split (min impurity decrease), whether bootstrap samples are used (bootstrap), and the function to measure the quality of a split (criterion).",,
4d4b6814504a,csysguard2024,relation,qwen3-8b,cSysGuard,comparesagainst,RNN,Model,Model → Model  |  BOTH subject and object must be named Models. Use when the paper explicitly benchmarks one model against another. Citation keys like 'Smith et al. (2019)' are NOT valid — use the model name,A. SYSTEM METRICS FORECASTING EVALUATION,"12 visualizes the predicted values compared to the actual values for various metrics. Each graph compares the performance of cSysGuard with commonly used models such as GRU, RNN, LSTM, ARIMA, and CNN.",,
cf05bc455ea6,csysguard2024,relation,qwen3-8b,dataset,comprises,"approximately 8,000 data points",Dataset,"ResearchProcess → ResearchProcess  |  BOTH subject and object must be processes/methods. Object must be an explicitly named sub-process or component — NOT a dataset, representation, or result",B. DATA PREPROCESSING,"The dataset [57] com- prises approximately 8,000 data points, each accumulated every 5 seconds.",,
49b5be5072a5,csysguard2024,relation,qwen3-8b,cSysGuard,designedfor,cloud environments,Task,Model → ResearchTask  |  use ONLY when the paper explicitly states the model was designed/built/intended for a specific task,Abstract,"Our study introduces cSysGuard, a novel framework designed to enhance monitoring capabilities within cloud environments.",,
8535275485d5,csysguard2024,relation,qwen3-8b,cSys- Guard,employs,ensemble machine -learning approach,Method,Organisation → Person  |  use for employment relationships,B. RELATED WORK,cSys- Guard employs an ensemble machine -learning approach that leverages the unique strengths of various models to achieve robust predictive capabilities.,,
647cfc09af48,csysguard2024,relation,qwen3-8b,experiment,employs,simple averaging,Method,Organisation → Person  |  use for employment relationships,C. COMPARATIVE ANALYSIS OF DIFFERENT ENSEMBLE,"In addition, we conducted an experiment that involves simple averaging in the third layer of cSysGuard.",,
8d54d6b6dea7,csysguard2024,relation,qwen3-8b,model,uses,Bayesian optimization,Method,"ResearchProcess → ResearchArtifact  |  use when a method/model explicitly consumes a tool, dataset, or architecture",C. HYPERPARAMETER TUNING,"Subsequently, we carefully refined the model's hyperparam- eters through Bayesian optimization to enhance its predictive capabilities with our dataset.",,
f422cc01e6db,csysguard2024,relation_scinex,qwen3-8b,optimized Decision Trees,comparesagainst,original model,Model,Model → Model  |  Associates a model with another model to which it is directly compared in an experiment,B. SYSTEM HEALTH ASSESSMENT EVALUATION,"The results indicate that the optimized Decision Trees outperform the original model, showing enhancements of approximately 1.56% in precision, 1.66% in recall, and 1.67% in the F1 score.",,
7dad8d3287fe,csysguard2024,relation_scinex,qwen3-8b,cSysGuard,comparesagainst,GRU,Model,Model → Model  |  Associates a model with another model to which it is directly compared in an experiment,A. SYSTEM METRICS FORECASTING EVALUATION,"Notably, this comparison also highlights cSysGuard's capability to surpass advanced deep learning models, such as GRU and LSTM, typically known for their strong performance in predictive tasks.",,
e1db568a54bb,csysguard2024,relation_scinex,qwen3-8b,system,configures,noise reduction process,Other,"ExperimentalSpecification → Experiment  |  Associates an experimental specification with the experiment it governs, establishing the conditions under which the experiment runs or the criteria by which its results are assessed",B. DATA PREPROCESSING,"Eventually, the system performs a noise reduction process utilizing a low-pass Butterworth filter to minimize data inconsistencies.",,
