triple_id,paper,extractor,model,subject,predicate,object,object_type,predicate_definition,section,source_sentence,verdict,note
122b4aa965d1,aiabstract2025,relation_scinex,qwen3-8b-v2,false positive example,extractedfrom,theoretical computer science paper,AcademicPaper,? → AcademicPaper  |  Links an extracted entity to the academic paper it was extracted from.,V EXPERIMENTS AND RESULTS,One false positive example was a human-written abstract from a theoretical computer science paper that used concise and formulaic language—often resembling LLM-generated text.,CORRECT,
c0410bef5d6e,aiabstract2025,relation_scinex,qwen3-8b-v2,AI-GA (AI-Generated Abstracts) dataset,producedby,this study,ResearchProcess,ResearchArtifact → ResearchProcess  |  Links a research artifact back to the research process that generated it,III DATASET,This study utilizes the AI-GA (AI-Generated Abstracts) dataset [24],INCORRECT,"Sentence says the study utilizes the dataset, not that it produced it"
35fba135955a,aiabstract2025,relation_scinex,qwen3-8b-v2,Section 3,reports,the AI-GA dataset and the preprocessing steps involved,ResearchProcess,"AcademicPaper → ResearchProcess  |  Associates an academic paper with the research processes it describes, including its methodology, data processing pipeline, and experiments",I INTRODUCTION,Section 3 describes the AI-GA dataset and the preprocessing steps involved.,INCORRECT,"Subject is a paper section, not an AcademicPaper as required by predicate"
9c535cf9625d,aiabstract2025,relation_scinex,qwen3-8b-v2,k-NN semantic graphs,supports,citation-like proximity,Concept,ExperimentalMeasurement → ExperimentalOutcome  |  Links a quantitative experimental measurement to the qualitative conclusion it provides evidence for,V EXPERIMENTS AND RESULTS,The use of k-NN semantic graphs enables the model to exploit relational context—such as topical clusters and citation-like proximity—that purely text-based models overlook.,INCORRECT,Subject is not an ExperimentalMeasurement and predicate domain mismatches
fd61e41b53f6,csysguard2024,relation_scinex,qwen3-8b-v2,cSysGuard,addresses,data preprocessing strategies,ResearchContext,Publication/ResearchProcess → ResearchContext  |  Links a publication or a research process to the research context element it targets,I INTRODUCTION,"We then transition to a compre- hensive overview of cSysGuard's methodology (Section III), detailing the high-level workings, component functionalities, and data preprocessing strategies.",PARTIAL,"Sentence describes cSysGuard's methodology including data preprocessing, but does not explicitly state it 'addresses' them"
776c805a851c,csysguard2024,relation_scinex,qwen3-8b-v2,health predictor,designedfor,determine the system 's health,Task,"Model → ResearchTask  |  Associates a model with the research task it was specifically designed or optimised to solve, such as a transformer model designed for machine translation or a CNN designed for image classification",A. HEALTH PREDICTION LAYER,The health predictor represents the last layer in our pre- dictive framework . It has a classification model designed to determine the system 's health .,CORRECT,
462673f8dcd7,csysguard2024,relation_scinex,qwen3-8b-v2,Decision Trees,employs,hyperparameter tuning,Method,Organisation → Person  |  Associates an organisation with the persons who work for or are institutionally employed by it at the time of a research publication,Abstract,"The effectiveness of health assessment was achieved through Decision Trees with hyperparameter tuning, resulting in a macro- averaged F1 score of 89.79%.",INCORRECT,Predicate expects Organisation→Person; subject is an algorithm and object is not a person
09c9bbdd1c7a,csysguard2024,relation_scinex,qwen3-8b-v2,cSysGuard,employs,a fine-tuned classification model,Model,Organisation → Person  |  Associates an organisation with the persons who work for or are institutionally employed by it at the time of a research publication,D. cSysGuard PERFORMANCE OVERHEAD,"Furthermore, cSysGuard examines these forecasts to determine system failover through a fine-tuned classification model.",INCORRECT,Predicate expects Organisation→Person; subject is not an organisation
b189597a5f97,csysguard2024,relation_scinex,qwen3-8b-v2,cSysGuard,employs,multi-layered stacking ensemble approach,Method,Organisation → Person  |  Associates an organisation with the persons who work for or are institutionally employed by it at the time of a research publication,B. RELATED WORK,cSysGuard employs a multi-layered stacking ensemble approach with a weighted averaging strategy,INCORRECT,Predicate expects Organisation→Person; subject is not an organisation
c85a1f888bd8,csysguard2024,relation_scinex,qwen3-8b-v2,Level-1 model,evaluatedon,RMSE,Metric,Experiment → Dataset  |  Directly links an experiment to the dataset used to assess the final performance of its model(s),B. LEVEL-1 LEARNER,"We then incrementally incorporated Level-0 models into each Level-1 learner, starting with those having the highest correlation scores, and assessed P(xi −¯x)(yi −¯y) pP(xi −¯x)2 P(yi −¯y)2 (5) the predictive performance of each Level-1 model using the RMSE.",INCORRECT,"Subject is a model, not an Experiment, and object is a metric, not a Dataset"
d0bfcdb34778,csysguard2024,relation_scinex,qwen3-8b-v2,cSysGuard,evaluatedon,dynamic performance metrics,Dataset,Experiment → Dataset  |  Directly links an experiment to the dataset used to assess the final performance of its model(s),Abstract,"Under the configuration utilized, our evaluations demonstrated increased predictive performance with cSysGuard in forecasting various metrics compared to traditional models.",INCORRECT,Subject is not an Experiment and object is not a Dataset; sentence does not explicitly state an evaluatedon relation.
4b6c47b8627b,csysguard2024,relation_scinex,qwen3-8b-v2,cSysGuard,produces,a novel framework,Model,ResearchProcess → ResearchArtifact  |  Relates a research process to the research artifact it generates as output,Abstract,"Our study introduces cSysGuard, a novel framework designed to enhance monitoring capabilities within cloud environments.",INCORRECT,"cSysGuard is a framework, not a ResearchProcess, and the sentence does not say it produces a novel framework."
